,ds,cities,y,yhat,yhat_upper,yhat_lower
75,2006-04-01,Belgrade,290.45673,290.57646823358306,294.1934928362675,286.63144643771153
76,2006-05-01,Belgrade,298.1271,296.4431787143559,299.8467101363232,292.90800113515763
77,2006-06-01,Belgrade,304.10443,301.64518975982725,305.316827958783,297.9177369781214
78,2006-07-01,Belgrade,306.13965,306.1268179512309,309.7694100011146,302.57731103501595
79,2006-08-01,Belgrade,303.47327,304.14532584959926,307.82168768301204,300.41467485215287
80,2006-09-01,Belgrade,297.96777,298.8109239536187,302.4521370319154,295.10164345266196
81,2006-10-01,Belgrade,290.46335,291.772921774826,295.2611320591663,288.1923169528963
82,2006-11-01,Belgrade,283.41446,284.65503526734966,288.71626383651636,280.9627231240195
83,2006-12-01,Belgrade,281.716,280.7554714036951,284.4430396521673,277.0100143537832
84,2007-01-01,Belgrade,278.6528,279.39528133968435,282.8032942411894,275.6615391076127
85,2007-02-01,Belgrade,284.43344,282.4201402087732,286.3285950326776,278.6661271042316
86,2007-03-01,Belgrade,285.99472,285.12878008580134,289.02830147823727,281.3347485208469
87,2007-04-01,Belgrade,291.90338,290.65516975808674,294.409963306241,287.06427548960886
88,2007-05-01,Belgrade,294.9201,295.88797173333603,299.967797397414,292.0940018547966
89,2007-06-01,Belgrade,301.05322,301.1259740964142,304.6359308550711,297.3537116560442
90,2007-07-01,Belgrade,306.68332,305.62189411663684,309.1665800556908,302.0495234036479
91,2007-08-01,Belgrade,305.37146,304.40145215066207,307.8356379649523,300.6477216796066
92,2007-09-01,Belgrade,297.3668,299.07137354727314,302.75325535520534,295.56735897578073
93,2007-10-01,Belgrade,291.42172,290.88815659155375,294.51163930681383,287.37477016694174
94,2007-11-01,Belgrade,278.6839,284.2643868864877,288.1715687514192,280.66442350463063
95,2007-12-01,Belgrade,281.4632,280.7842492374188,284.406686463058,277.0539950534969
96,2008-01-01,Belgrade,277.81915,279.2557097418097,282.8110651113817,275.5171777644016
97,2008-02-01,Belgrade,283.81708,281.96232375841004,285.57514528489327,278.0310185724288
98,2008-03-01,Belgrade,287.5517,285.12574034296165,288.8660845085424,281.39605291689037
99,2008-04-01,Belgrade,288.06888,289.33415072404426,292.8686393583891,285.52788643338573
100,2008-05-01,Belgrade,294.32886,296.45201991273257,300.1348346784564,292.8237441115085
101,2008-06-01,Belgrade,302.5044,301.6100507078837,305.1264635639743,297.89291846313273
102,2008-07-01,Belgrade,307.8995,306.09733488647004,309.80197709289627,302.40244081030124
103,2008-08-01,Belgrade,303.80508,302.5876026163437,306.3166446524448,298.7796045124209
104,2008-09-01,Belgrade,300.19022,297.1780051712303,300.99101079894825,293.69592876205326
105,2008-10-01,Belgrade,288.7023,292.4494897882513,296.173243541095,288.8324612188289
106,2008-11-01,Belgrade,283.9573,284.4073629133041,288.07258571972324,280.7955158518904
107,2008-12-01,Belgrade,277.3456,279.6844481765401,283.2918353632713,276.0865316270876
108,2009-01-01,Belgrade,277.42737,278.66247360556656,282.2870720517959,274.8011976383313
109,2009-02-01,Belgrade,280.30396,282.35736735235025,285.8801514048353,278.73785763923433
110,2009-03-01,Belgrade,281.42224,284.8963594792756,288.94041071992933,281.2582791298768
111,2009-04-01,Belgrade,290.11652,289.58318095438597,293.1173521094708,285.8460108691253
112,2009-05-01,Belgrade,295.51642,296.10819125564143,299.6456216915889,292.4884445641224
113,2009-06-01,Belgrade,298.91623,301.3237889593308,305.31358293363826,297.3527721032589
114,2009-07-01,Belgrade,307.47437,305.8403902435761,309.5346134985884,302.23890005899983
115,2009-08-01,Belgrade,303.27792,303.13471160098237,306.69663563622277,299.456671597138
116,2009-09-01,Belgrade,297.5654,297.813012099898,301.2859859287068,294.0610612701948
117,2009-10-01,Belgrade,293.8868,291.9649154434704,295.8807000971038,288.2577550705031
118,2009-11-01,Belgrade,283.12747,284.41330270648444,288.1596070509165,280.77514339570973
119,2009-12-01,Belgrade,279.46936,280.12826273086114,283.7587473198191,276.5114790317843
120,2010-01-01,Belgrade,282.2577,278.9669203302688,282.5559862289883,275.267565878668
121,2010-02-01,Belgrade,281.30194,282.35128330743606,286.1740849866117,278.7716942179905
122,2010-03-01,Belgrade,286.655,284.9932760763713,288.7091067413459,281.3246420420778
123,2010-04-01,Belgrade,289.15094,290.12889788087875,293.7693207078121,286.5254934728333
124,2010-05-01,Belgrade,296.66714,296.0343866890819,299.62908470826875,292.27232981706584
125,2010-06-01,Belgrade,304.929,301.276468672892,305.0947763214356,297.66085745696097
126,2010-07-01,Belgrade,308.04807,305.7968751917222,309.595074892025,302.1782801392706
127,2010-08-01,Belgrade,305.65604,303.8554540284346,307.492414650522,300.12468385111003
128,2010-09-01,Belgrade,298.75385,298.56112307079076,301.9517211286874,294.7833751862589
129,2010-10-01,Belgrade,289.20667,291.5574225654176,295.40265861804744,288.01772349365905
130,2010-11-01,Belgrade,285.2601,284.4749811204772,288.13421187798104,280.7701693916806
131,2010-12-01,Belgrade,277.885,280.6097189302482,284.3256321142562,277.0689099367521
